technology,parameter,year,value,unit,currency_year,source,further_description
gas,fuel,2030,19.2,EUR/MWhth,2015,"G. Moura and M. Howells, “SAMBA, The open source South American Model Base. A Brazilian Perspective on Long Term Power Systems Investment and Integration.,” Royal Institute of Technology (KTH), Sockholm, Work. Pap. Ser., no. DESA /15/8/11,  DOI: 10.13140/RG.2.1.3038.7042. Aug. 2015.",
gas,fuel,2040,24.6,EUR/MWhth,2015,"G. Moura and M. Howells, “SAMBA, The open source South American Model Base. A Brazilian Perspective on Long Term Power Systems Investment and Integration.,” Royal Institute of Technology (KTH), Sockholm, Work. Pap. Ser., no. DESA /15/8/11,  DOI: 10.13140/RG.2.1.3038.7042. Aug. 2015.",
gas,fuel,2050,24.6,EUR/MWhth,2015,"G. Moura and M. Howells, “SAMBA, The open source South American Model Base. A Brazilian Perspective on Long Term Power Systems Investment and Integration.,” Royal Institute of Technology (KTH), Sockholm, Work. Pap. Ser., no. DESA /15/8/11,  DOI: 10.13140/RG.2.1.3038.7042. Aug. 2015.",
coal,fuel,2030,11.1,EUR/MWhth,2015,"G. Moura and M. Howells, “SAMBA, The open source South American Model Base. A Brazilian Perspective on Long Term Power Systems Investment and Integration.,” Royal Institute of Technology (KTH), Sockholm, Work. Pap. Ser., no. DESA /15/8/11,  DOI: 10.13140/RG.2.1.3038.7042. Aug. 2015.",
coal,fuel,2040,11.7,EUR/MWhth,2015,"G. Moura and M. Howells, “SAMBA, The open source South American Model Base. A Brazilian Perspective on Long Term Power Systems Investment and Integration.,” Royal Institute of Technology (KTH), Sockholm, Work. Pap. Ser., no. DESA /15/8/11,  DOI: 10.13140/RG.2.1.3038.7042. Aug. 2015.",
coal,fuel,2050,11.7,EUR/MWhth,2015,"G. Moura and M. Howells, “SAMBA, The open source South American Model Base. A Brazilian Perspective on Long Term Power Systems Investment and Integration.,” Royal Institute of Technology (KTH), Sockholm, Work. Pap. Ser., no. DESA /15/8/11,  DOI: 10.13140/RG.2.1.3038.7042. Aug. 2015.",
oil,fuel,2030,42.6,EUR/MWhth,2015,"G. Moura and M. Howells, “SAMBA, The open source South American Model Base. A Brazilian Perspective on Long Term Power Systems Investment and Integration.,” Royal Institute of Technology (KTH), Sockholm, Work. Pap. Ser., no. DESA /15/8/11,  DOI: 10.13140/RG.2.1.3038.7042. Aug. 2015.",
oil,fuel,2040,49.6,EUR/MWhth,2015,"G. Moura and M. Howells, “SAMBA, The open source South American Model Base. A Brazilian Perspective on Long Term Power Systems Investment and Integration.,” Royal Institute of Technology (KTH), Sockholm, Work. Pap. Ser., no. DESA /15/8/11,  DOI: 10.13140/RG.2.1.3038.7042. Aug. 2015.",
oil,fuel,2050,49.6,EUR/MWhth,2015,"G. Moura and M. Howells, “SAMBA, The open source South American Model Base. A Brazilian Perspective on Long Term Power Systems Investment and Integration.,” Royal Institute of Technology (KTH), Sockholm, Work. Pap. Ser., no. DESA /15/8/11,  DOI: 10.13140/RG.2.1.3038.7042. Aug. 2015.",
nh3_pem,fuel,2030,92,EUR/MWhel,2018,"Own calculations based on Pfennig, M., Böttger, D., Häckner, B., Geiger, D., Zink, C., Bisevic, A. et al. (2022). Global GIS-based potential analysis and cost assessment of Power-to-X fuels in 2050. https://doi.org/10.48550/arXiv.2208.1488. and Ram M., Galimova T., Bogdanov D., Fasihi M., Gulagi A., Breyer C., Micheli M., Crone K. (2020). Powerfuels in a Renewable Energy World - Global volumes, costs, and trading 2030 to 2050. Lappeenranta, Berlin.: LUT University; Deutsche Energie-Agentur GmbH (dena).",
