technology,parameter,value,unit,source,further description,currency_year
Ammonia cracker,FOM,4.3,%/year,"Ishimoto et al. (2020): 10.1016/j.ijhydene.2020.09.017 , table 7.","Estimated based on Labour cost rate, Maintenance cost rate, Insurance rate, Admin. cost rate and Chemical & other consumables cost rate.",2015.0
Ammonia cracker,ammonia-input,1.46,MWh_NH3/MWh_H2,"ENGIE et al (2020): Ammonia to Green Hydrogen Feasibility Study (https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/880826/HS420_-_Ecuity_-_Ammonia_to_Green_Hydrogen.pdf), Fig. 10.",Assuming a integrated 200t/d cracking and purification facility. Electricity demand (316 MWh per 2186 MWh_LHV H2 output) is assumed to also be ammonia LHV input which seems a fair assumption as the facility has options for a higher degree of integration according to the report).,
Ammonia cracker,investment,905504.80968,USD/MW_H2,"Ishimoto et al. (2020): 10.1016/j.ijhydene.2020.09.017 , table 6.","Calculated. For a small (200 t_NH3/d input) facility. Base cost for facility: 51 MEUR at capacity 20 000m^3_NH3/h = 339 t_NH3/d input. Cost scaling exponent 0.67. Ammonia density 0.7069 kg/m^3. Conversion efficiency of cracker: 0.685. Ammonia LHV: 5.167 MWh/t_NH3.; and
Calculated. For a large (2500 t_NH3/d input) facility. Base cost for facility: 51 MEUR at capacity 20 000m^3_NH3/h = 339 t_NH3/d input. Cost scaling exponent 0.67. Ammonia density 0.7069 kg/m^3. Conversion efficiency of cracker: 0.685. Ammonia LHV: 5.167 MWh/t_NH3.",2015.0
Ammonia cracker,lifetime,25.0,years,"Ishimoto et al. (2020): 10.1016/j.ijhydene.2020.09.017 , table 7.",,2015.0
BEV Bus city,FOM,0.00029,%/year,"Danish Energy Agency, data_sheets_for_commercial_freight_and_passenger_transport_0.xlsx",BEV B1,2022.0
BEV Bus city,Motor size,0.42414,MW,"Danish Energy Agency, data_sheets_for_commercial_freight_and_passenger_transport_0.xlsx",BEV B1,2022.0
BEV Bus city,VOM,0.12323,USD/km,"Danish Energy Agency, data_sheets_for_commercial_freight_and_passenger_transport_0.xlsx",BEV B1,2022.0
BEV Bus city,efficiency,0.00067,MWh/km,"Danish Energy Agency, data_sheets_for_commercial_freight_and_passenger_transport_0.xlsx",BEV B1,2022.0
BEV Bus city,investment,256942.35145,USD/vehicle,"Danish Energy Agency, data_sheets_for_commercial_freight_and_passenger_transport_0.xlsx",BEV B1,2022.0
BEV Bus city,lifetime,12.0,years,"Danish Energy Agency, data_sheets_for_commercial_freight_and_passenger_transport_0.xlsx",BEV B1,2022.0
BEV Coach,FOM,0.0002,%/year,"Danish Energy Agency, data_sheets_for_commercial_freight_and_passenger_transport_0.xlsx",BEV B2,2022.0
BEV Coach,Motor size,0.53966,MW,"Danish Energy Agency, data_sheets_for_commercial_freight_and_passenger_transport_0.xlsx",BEV B2,2022.0
BEV Coach,VOM,0.12323,USD/km,"Danish Energy Agency, data_sheets_for_commercial_freight_and_passenger_transport_0.xlsx",BEV B2,2022.0
BEV Coach,efficiency,0.00065,MWh/km,"Danish Energy Agency, data_sheets_for_commercial_freight_and_passenger_transport_0.xlsx",BEV B2,2022.0
BEV Coach,investment,361168.81225,USD/vehicle,"Danish Energy Agency, data_sheets_for_commercial_freight_and_passenger_transport_0.xlsx",BEV B2,2022.0
BEV Coach,lifetime,12.0,years,"Danish Energy Agency, data_sheets_for_commercial_freight_and_passenger_transport_0.xlsx",BEV B2,2022.0
BEV Truck Semi-Trailer max 50 tons,FOM,0.00038,%/year,"Danish Energy Agency, data_sheets_for_commercial_freight_and_passenger_transport_0.xlsx",BEV L3,2022.0
BEV Truck Semi-Trailer max 50 tons,Motor size,0.81379,MW,"Danish Energy Agency, data_sheets_for_commercial_freight_and_passenger_transport_0.xlsx",BEV L3,2022.0
BEV Truck Semi-Trailer max 50 tons,VOM,0.12323,USD/km,"Danish Energy Agency, data_sheets_for_commercial_freight_and_passenger_transport_0.xlsx",BEV L3,2022.0
BEV Truck Semi-Trailer max 50 tons,efficiency,0.00116,MWh/km,"Danish Energy Agency, data_sheets_for_commercial_freight_and_passenger_transport_0.xlsx",BEV L3,2022.0
BEV Truck Semi-Trailer max 50 tons,investment,195685.71617,USD/vehicle,"Danish Energy Agency, data_sheets_for_commercial_freight_and_passenger_transport_0.xlsx",BEV L3,2022.0
BEV Truck Semi-Trailer max 50 tons,lifetime,10.5,years,"Danish Energy Agency, data_sheets_for_commercial_freight_and_passenger_transport_0.xlsx",BEV L3,2022.0
BEV Truck Solo max 26 tons,FOM,0.0003,%/year,"Danish Energy Agency, data_sheets_for_commercial_freight_and_passenger_transport_0.xlsx",BEV L1,2022.0
BEV Truck Solo max 26 tons,Motor size,0.47069,MW,"Danish Energy Agency, data_sheets_for_commercial_freight_and_passenger_transport_0.xlsx",BEV L1,2022.0
BEV Truck Solo max 26 tons,VOM,0.12323,USD/km,"Danish Energy Agency, data_sheets_for_commercial_freight_and_passenger_transport_0.xlsx",BEV L1,2022.0
BEV Truck Solo max 26 tons,efficiency,0.00073,MWh/km,"Danish Energy Agency, data_sheets_for_commercial_freight_and_passenger_transport_0.xlsx",BEV L1,2022.0
BEV Truck Solo max 26 tons,investment,244254.08541,USD/vehicle,"Danish Energy Agency, data_sheets_for_commercial_freight_and_passenger_transport_0.xlsx",BEV L1,2022.0
BEV Truck Solo max 26 tons,lifetime,13.8,years,"Danish Energy Agency, data_sheets_for_commercial_freight_and_passenger_transport_0.xlsx",BEV L1,2022.0
BEV Truck Trailer max 56 tons,FOM,0.00034,%/year,"Danish Energy Agency, data_sheets_for_commercial_freight_and_passenger_transport_0.xlsx",BEV L2,2022.0
BEV Truck Trailer max 56 tons,Motor size,1.07759,MW,"Danish Energy Agency, data_sheets_for_commercial_freight_and_passenger_transport_0.xlsx",BEV L2,2022.0
BEV Truck Trailer max 56 tons,VOM,0.12323,USD/km,"Danish Energy Agency, data_sheets_for_commercial_freight_and_passenger_transport_0.xlsx",BEV L2,2022.0
